lat,lng
-45.869319,170.508402
-45.869058,170.508161
-45.867042,170.509034
-45.864684,170.514422
-45.864439,170.513251
-45.824738,-67.463908
-43.534003,172.625825
-43.523538,172.583923
-43.523538,172.583923
-43.523538,172.583923
-43.523538,172.583923
-43.523538,172.583923
-43.523538,172.583923
-43.523538,172.583923
-43.523538,172.583923
-43.523538,172.583923
-43.523538,172.583923
-42.878744,147.329705
-42.878744,147.329705
-42.878744,147.329705
-42.878744,147.329705
-41.309116,174.780858
-41.291134,174.767189
-41.290978,174.768307
-41.290402,174.768661
-41.221089,174.795564
-41.147993,174.838995
-41.147993,174.838995
-41.113747,-71.414145
-41.113728,-71.414094
-41.113728,-71.414094
-41.113728,-71.414094
-39.813921,-73.2483
-39.813921,-73.2483
-39.806164,-73.25166
-39.806164,-73.25166
-38.94015,-68.057358
-38.94015,-68.057358
-38.931378,-69.193696
-38.747816,-72.616833
-38.198373,144.29881
-38.196999,144.298478
-38.153065,145.155968
-38.143501,144.359698
-38.143501,144.359698
-38.143501,144.359698
-38.143501,144.359698
-38.143501,144.359698
-38.143501,144.359698
-38.143501,144.359698
-38.143501,144.359698
-38.143501,144.359698
-38.143501,144.359698
-38.143501,144.359698
-38.143501,144.359698
-38.024789,145.102068
-38.024789,145.102068
-37.921916,145.120582
-37.921864,145.125404
-37.921864,145.125404
-37.921864,145.125404
-37.921864,145.125404
-37.921864,145.125404
-37.921864,145.125404
-37.921493,145.062993
-37.920818,145.063127
-37.920669,145.123386
-37.920669,145.123386
-37.920518,145.123346
-37.920518,145.123346
-37.920518,145.123346
-37.920518,145.123346
-37.920518,145.123346
-37.920518,145.123346
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.911474,145.134464
-37.910524,145.136218
-37.90638,145.131941
-37.902998,145.223894
-37.852331,144.982052
-37.846741,145.115112
-37.846741,145.115112
-37.846741,145.115112
-37.846741,145.115112
-37.846741,145.115112
-37.846741,145.115112
-37.846236,144.984512
-37.845961,144.981851
-37.845961,144.981851
-37.845961,144.981851
-37.845961,144.981851
-37.845896,144.984074
-37.845896,144.984074
-37.845633,144.983195
-37.845633,144.983195
-37.845633,144.983195
-37.845633,144.983195
-37.845633,144.983195
-37.845633,144.983195
-37.843268,144.770729
-37.820528,144.950233
-37.818351,144.980875
-37.818351,144.980875
-37.817527,144.964063
-37.817527,144.964063
-37.817527,144.964063
-37.817527,144.964063
-37.817527,144.964063
-37.816649,144.959498
-37.814519,145.118453
-37.814503,144.999061
-37.813526,145.118509
-37.811412,144.952201
-37.811399,144.949438
-37.811399,144.949438
-37.811399,144.949438
-37.811399,144.949438
-37.811399,144.949438
-37.809699,144.95762
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808944,144.965117
-37.808526,144.974918
-37.807773,144.97496
-37.807773,144.97496
-37.807773,144.97496
-37.807499,144.977899
-37.80381,144.963684
-37.801032,144.962163
-37.800165,144.956424
-37.800165,144.956424
-37.800165,144.956424
-37.800165,144.956424
-37.800165,144.956424
-37.800165,144.956424
-37.800165,144.956424
-37.800165,144.956424
-37.80015,144.959195
-37.799888,144.95882
-37.799888,144.95882
-37.799527,144.958739
-37.799527,144.958739
-37.799526,144.961741
-37.799431,144.958906
-37.799431,144.958906
-37.799431,144.958906
-37.799431,144.958906
-37.799431,144.958906
-37.798933,144.955144
-37.798877,144.956177
-37.798872,144.961188
-37.798654,144.95587
-37.798654,144.95587
-37.798654,144.95587
-37.798654,144.95587
-37.798654,144.95587
-37.798654,144.95587
-37.798615,144.954857
-37.798615,144.954857
-37.798615,144.954857
-37.798615,144.954857
-37.798615,144.954857
-37.798615,144.954857
-37.798615,144.954857
-37.798615,144.954857
-37.798615,144.954857
-37.798308,144.958554
-37.798308,144.958554
-37.798308,144.958554
-37.798308,144.958554
-37.798256,144.958516
-37.798256,144.958516
-37.797755,144.953871
-37.797755,144.953871
-37.79712,144.96501
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
-37.79674,144.963656
